,City,Airport,Enplanements,Link,latitude,longitude
152,Sitka,Sitka Rocky Gutierrez Airport,83404.0,/wiki/Sitka_Rocky_Gutierrez_Airport,57.04722,-135.36167
153,Kodiak,Kodiak Airport,79682.0,/wiki/Kodiak_Airport,57.74972,-152.49389
154,Provo,Provo Municipal Airport,78451.0,/wiki/Provo_Municipal_Airport,40.219194,-111.723361
155,Sun Valley,Friedman Memorial Airport,77729.0,/wiki/Friedman_Memorial_Airport,43.50389,-114.29556
156,Portsmouth,Portsmouth International Airport at Pease,73247.0,/wiki/Portsmouth_International_Airport_at_Pease,43.07806,-70.82333
157,Lewiston,Lewiston-Nez Perce County Airport,72724.0,/wiki/Lewiston-Nez_Perce_County_Airport,46.37444,-117.01528
158,Santa Fe,Santa Fe Regional Airport,71252.0,/wiki/Santa_Fe_Regional_Airport,35.61722,-106.08944
159,Arcata/Eureka,Arcata Airport,69732.0,/wiki/Arcata-Eureka_Airport,40.97778,-124.10833
160,Grand Island,Central Nebraska Regional Airport,68879.0,/wiki/Central_Nebraska_Regional_Airport,40.9675,-98.30972
161,Williston,Williston Basin International Airport,68829.0,/wiki/Williston_Basin_International_Airport,48.25972,-103.75056
162,"Pago Pago, Tutuila",Pago Pago International Airport,65439.0,/wiki/Pago_Pago_International_Airport,-14.32806,-170.71194
163,Columbia,Columbia Regional Airport,65014.0,/wiki/Columbia_Regional_Airport,38.81806,-92.21972
164,Flagstaff,Flagstaff Pulliam Airport,64578.0,/wiki/Flagstaff_Pulliam_Airport,35.14028,-111.66917
165,Salisbury,Salisbury-Ocean City Wicomico Regional Airport,64393.0,/wiki/Salisbury-Ocean_City_Wicomico_Regional_Airport,38.34,-75.50944
166,Waco,Waco Regional Airport,64356.0,/wiki/Waco_Regional_Airport,31.61139,-97.23056
167,Manhattan,Manhattan Regional Airport,63761.0,/wiki/Manhattan_Regional_Airport,39.14111,-96.67167
168,Vieques,Antonio Rivera Rodríguez Airport,63104.0,/wiki/Antonio_Rivera_Rodr%C3%ADguez_Airport,18.13472,-65.49389
169,"Pullman / Moscow, Idaho",Pullman/Moscow Regional Airport,61833.0,/wiki/Pullman-Moscow_Regional_Airport,46.744,-117.108
170,Nome,Nome Airport,60655.0,/wiki/Nome_Airport,64.51222,-165.44528
171,Vineyard Haven,Martha's Vineyard Airport,54084.0,/wiki/Martha%27s_Vineyard_Airport,41.39306,-70.61444
172,Lake Charles,Lake Charles Regional Airport,53576.0,/wiki/Lake_Charles_Regional_Airport,30.12611,-93.22333
173,Tyler,Tyler Pounds Regional Airport,52494.0,/wiki/Tyler_Pounds_Regional_Airport,32.35389,-95.40278
174,Lawton,Lawton–Fort Sill Regional Airport,51088.0,/wiki/Lawton%E2%80%93Fort_Sill_Regional_Airport,34.56778,-98.41639
175,Dothan,Dothan Regional Airport,49411.0,/wiki/Dothan_Regional_Airport,31.32111,-85.44944
176,Walla Walla,Walla Walla Regional Airport,47439.0,/wiki/Walla_Walla_Regional_Airport,46.09,-118.29
177,Marquette,Sawyer International Airport,45462.0,/wiki/Sawyer_International_Airport,46.35361,-87.39528
178,Florence,Florence Regional Airport,45300.0,/wiki/Florence_Regional_Airport,34.18528,-79.72389
179,Barrow,Wiley Post–Will Rogers Memorial Airport,45300.0,/wiki/Wiley_Post%E2%80%93Will_Rogers_Memorial_Airport,71.28556,-156.76611
180,Columbus,Columbus Metropolitan Airport,44813.0,/wiki/Columbus_Metropolitan_Airport,32.51639,-84.93889
181,Redding,Redding Municipal Airport,43414.0,/wiki/Redding_Municipal_Airport,40.50889,-122.29333
182,"Lanai City, Lanai",Lanai Airport,43275.0,/wiki/Lanai_Airport,20.78556,-156.95139
183,Ceiba,José Aponte de la Torre Airport,43005.0,/wiki/Jos%C3%A9_Aponte_de_la_Torre_Airport,18.24528,-65.64333
184,Columbus,Golden Triangle Regional Airport,40823.0,/wiki/Golden_Triangle_Regional_Airport,33.44833,-88.59139
185,Cody,Yellowstone Regional Airport,40340.0,/wiki/Yellowstone_Regional_Airport,44.52028,-109.02389
186,Dubuque,Dubuque Regional Airport,37954.0,/wiki/Dubuque_Regional_Airport,42.40194,-90.70944
187,King Salmon,King Salmon Airport,36717.0,/wiki/King_Salmon_Airport,58.67639,-156.64861
188,Pocatello,Pocatello Regional Airport,34462.0,/wiki/Pocatello_Regional_Airport,42.90972,-112.59583
189,Albany,Southwest Georgia Regional Airport,34226.0,/wiki/Southwest_Georgia_Regional_Airport,31.53556,-84.19444
190,Dillingham,Dillingham Airport,33616.0,/wiki/Dillingham_Airport,59.04472,-158.50556
191,Culebra,Benjamín Rivera Noriega Airport,31141.0,/wiki/Benjam%C3%ADn_Rivera_Noriega_Airport,18.31333,-65.30444
192,Hilton Head,Hilton Head Airport,30956.0,/wiki/Hilton_Head_Airport,32.22444,-80.6975
193,Gunnison,Gunnison-Crested Butte Regional Airport,30780.0,/wiki/Gunnison-Crested_Butte_Regional_Airport,38.53389,-106.93306
194,Wilmington,Wilmington Airport,30355.0,/wiki/Wilmington_Airport_(Delaware),39.67861,-75.60667
195,St. Augustine,Northeast Florida Regional Airport,28462.0,/wiki/Northeast_Florida_Regional_Airport,29.95925,-81.33972
